Name,Age,Nominating party,Political party,Votes 2014,Percentual gain 2014,Ballot rank,Final rank,Mandate
Andresová Ivana Mgr.,49,ODS,BEZPP,1702.0,2.71,9,7,-
Andrys Jakub,27,Svobodní,BEZPP,596.0,2.37,34,-,-
Balcárek Radek,48,Nestran.,VČ,1656.0,2.72,7,9,-
Baldrych Martin,40,ODS,ODS,1575.0,2.51,21,18,-
Baloun Radek Mgr.,42,NK,BEZPP,902.0,2.81,10,-,-
Baraňáková Markéta PaedDr.,52,ODS,ODS,1531.0,2.44,30,27,-
Barták Pavel doc. Ing. Ph.D.,51,ODS,ODS,1562.0,2.49,29,26,-
Bártík Martin Mgr.,25,ČSSD,ČSSD,3283.0,2.82,8,4,-
Bartíková Jiřina,72,HRAD.PATRIOTI,BEZPP,444.0,2.37,29,-,-
Bartoš Miroslav Ing.,65,ČSSD,ČSSD,3088.0,2.65,22,17,-
Bednář Jan Ing.,32,HRAD.PATRIOTI,BEZPP,512.0,2.74,9,-,-
Bednář Miroslav Ing.,61,HRAD.PATRIOTI,BEZPP,530.0,2.83,7,-,-
Bejček Karel Mgr. Bc.,70,NK,BEZPP,1525.0,2.72,25,23,-
Bejčková Marcela,47,ČSSD,ČSSD,2904.0,2.49,32,27,-
Bek Tomáš,34,NK,BEZPP,339.0,2.82,7,-,-
Beková Radka Ing.,30,NK,BEZPP,274.0,2.28,31,-,-
Bělohoubek Jaroslav,62,NK,BEZPP,198.0,2.5,23,-,-
Berák Miroslav,53,BPI,BPI,168.0,2.12,24,-,-
Beránek Michael,19,HRAD.PATRIOTI,BEZPP,460.0,2.46,31,-,-
Beránek Michal,32,DOMA,DOMA,463.0,3.85,2,-,-
Berger Vladimír,25,KSČM,BEZPP,2684.0,2.71,10,6,-
Bergerová Věra,63,KSČM,KSČM,2631.0,2.66,21,17,-
Bíla Oldřich Mgr.,65,DOMA,DOMA,385.0,3.2,5,-,-
Binarová Barbora Mgr.,32,NK,BEZPP,297.0,2.47,30,-,-
Bláhová Eva Mgr.,42,Zelení,BEZPP,1438.0,2.56,19,17,-
Bláhová Věra Mgr.,48,Nestran.,BEZPP,1379.0,2.26,32,30,-
Boháčová Kateřina,31,Svobodní,BEZPP,594.0,2.37,32,-,-
Boučková Zdeňka,40,NK,BEZPP,213.0,2.69,12,-,-
Brodský Štěpán,41,HDK,BEZPP,5596.0,2.21,35,23,-
Bulíček Pavel Bc.,26,NK,Piráti,1304.0,2.32,29,27,-
Bureš Jan JUDr. Ph.D.,31,Svobodní,BEZPP,728.0,2.9,13,-,-
Burýšková Blanka Mgr. Ph.D.,37,NK,BEZPP,1417.0,2.53,23,21,-
Burýšková Lenka Mgr.,45,Nestran.,BEZPP,2161.0,3.55,3,1,-
Cabal Jiří Ing.,27,HDK,BEZPP,6803.0,2.69,17,5,-
Cech Marcel PharmDr.,51,NK,BEZPP,263.0,3.32,10,-,-
Cejnar Jiří,58,KSČM,KSČM,2604.0,2.63,26,22,-
Cejnarová Veronika Ing.,29,VPM,BEZPP,489.0,2.06,18,-,-
Ciborová Jitka,46,NK,BEZPP,274.0,2.28,33,-,-
Cicvárek Jan,21,Svobodní,BEZPP,635.0,2.53,11,-,-
Cimr Jan,39,TOP 09,BEZPP,1648.0,2.49,24,21,-
Cvejn Zdeněk Mgr. Ing.,33,ODS,ODS,1721.0,2.74,6,4,-
Čáp Bohuslav Ing.,63,KDU-ČSL,BEZPP,1509.0,2.47,19,17,-
Čáp Jan prof. MUDr. CSc.,61,KDU-ČSL,KDU-ČSL,1950.0,3.2,10,3,-
Čapek Jan Mgr.,35,ANO,BEZPP,3846.0,2.75,16,10,-
Čapek Jaroslav Mgr.,65,ANO,ANO,3960.0,2.83,8,2,-
Čáslavská Tereza,19,NK,BEZPP,290.0,2.41,21,-,-
Čech Jan Mgr.,33,ANO,BEZPP,3807.0,2.72,25,19,-
Čech Julius,66,NK,BEZPP,176.0,2.22,26,-,-
Čechová Věra,63,NK,BEZPP,168.0,2.12,35,-,-
Čelko Martin MUDr.,40,ANO,BEZPP,3686.0,2.63,28,22,-
Čep Daniel,46,VPM,BEZPP,509.0,2.15,20,-,-
Čermák Jiří Bc.,31,Zelení,Zelení,1591.0,2.84,3,5,-
Černá Aneta,24,NK,BEZPP,772.0,2.41,22,-,-
Černá Dominika,22,HRAD.PATRIOTI,BEZPP,500.0,2.67,19,-,-
Černá Lenka MDDr.,28,DOMA,BEZPP,338.0,2.81,8,-,-
Černý Daniel MUDr.,40,DOMA,BEZPP,349.0,2.9,9,-,-
Červinka Michal Ing.,30,TOP 09,TOP 09,1683.0,2.55,17,14,-
Čipčalová Vlasta,65,Svobodní,BEZPP,607.0,2.42,31,-,-
Čížek Jan Ing. arch.,53,NK,BEZPP,1502.0,2.68,14,12,-
Čtvrtečka Jan Bc.,34,NK,BEZPP,203.0,2.56,28,-,-
Danihel Karel,22,NK,BEZPP,265.0,2.2,24,-,-
Daňo Vladimír,63,KSČM,KSČM,2343.0,2.37,37,33,-
Dědková Jitka Bc.,45,ODS,ODS,1253.0,2.0,37,34,-
Děkanová Jana,67,NK,BEZPP,271.0,2.25,26,-,-
Dioszegi Jana DiS.,37,ODS,BEZPP,1971.0,3.14,2,1,-
Dittrich Petr Ing.,38,TOP 09,BEZPP,1504.0,2.27,32,29,-
Divecká Růžena Ing.,47,Nestran.,BEZPP,1699.0,2.79,6,8,-
Doksanská Debora,18,NK,BEZPP,628.0,1.96,35,-,-
Doksanská Gabriela Mgr.,43,TOP 09,BEZPP,1496.0,2.26,33,30,-
Doksanský Denis,41,NK,BEZPP,1542.0,4.81,1,-,-
Doskočil Jan Ing.,72,VPM,BEZPP,681.0,2.87,10,-,-
Dostál Hynek Mgr. Ph.D.,41,Svobodní,BEZPP,849.0,3.38,5,-,-
Dostálová Lucie Mgr.,40,DOMA,BEZPP,365.0,3.04,13,-,-
Doubek Lukáš,26,TOP 09,BEZPP,1101.0,1.66,37,34,-
Doucková Romana,42,NK,BEZPP,199.0,2.51,16,-,-
Drapač Jakub,25,NK,BEZPP,198.0,2.5,8,-,-
Dršatová Dita Mgr.,44,HDK,BEZPP,6903.0,2.73,18,6,-
Dryml Vladimír MUDr.,62,NK,BEZPP,401.0,5.06,2,-,-
Duchač Adam Ing.,28,TOP 09,TOP 09,1655.0,2.5,20,17,-
Duchoň Radoslav,57,HDK,BEZPP,5882.0,2.33,33,21,-
Dürrer Jan Ing.,60,HDK,BEZPP,6908.0,2.73,14,2,-
Dűrrer Jan,24,Úsvit,BEZPP,387.0,2.67,9,-,-
Dűrrer Martin,26,Úsvit,BEZPP,310.0,2.14,37,-,-
Dus Ondřej Oskar,19,HDK,BEZPP,4838.0,1.91,37,25,-
Dus Rudolf Bc.,59,ČSSD,ČSSD,3385.0,2.9,6,3,-
Dusová Romana Ing.,46,HDK,BEZPP,6482.0,2.57,27,15,-
Dušek Michal,24,Úsvit,BEZPP,341.0,2.35,25,-,-
Dvořáčková Dana Mgr.,46,VPM,BEZPP,413.0,1.74,29,-,-
Dvořák Jan PhDr.,62,NK,BEZPP,731.0,2.28,37,-,-
Dvořák Michal,33,NK,BEZPP,197.0,2.48,11,-,-
Eminger Stanislav,50,ODS,ODS,1636.0,2.61,17,14,-
Fajfr Jan Bc.,36,ODS,ODS,1526.0,2.43,28,25,-
Falta Jan Ing.arch.,48,KDU-ČSL,KDU-ČSL,2161.0,3.55,4,2,-
Falta Petr,28,KSČM,KSČM,2669.0,2.7,14,10,-
Faltýnek Jan Mgr.,55,HDK,BEZPP,6822.0,2.7,24,12,-
Fedorová Pavla,38,NK,BEZPP,278.0,2.31,28,-,-
Feix Radek Ing.,27,HRAD.PATRIOTI,BEZPP,527.0,2.82,8,-,-
Ferčák Dušan Ing.,52,ČSSD,ČSSD,2866.0,2.46,33,28,-
Fiala Petr MgA.,38,HDK,BEZPP,5863.0,2.32,34,22,-
Fialová Lenka DiS.,47,KSČM,BEZPP,2897.0,2.93,2,3,*
Fiedler Jiří Ing.,58,VPM,BEZPP,484.0,2.04,22,-,-
Filip Jaroslav,28,ODS,ODS,1710.0,2.73,7,5,-
Filipová Alena,68,Úsvit,BEZPP,350.0,2.41,27,-,-
Fink Zdeněk MUDr.,59,HDK,HDK,10870.0,4.31,1,1,*
Foret Vladimír Ing.,67,ČSSD,ČSSD,2588.0,2.22,36,31,-
Fraňo Jan,28,NK,BEZPP,175.0,2.21,20,-,-
Freislebenová Andrea,25,Úsvit,BEZPP,376.0,2.59,12,-,-
Friedlová Libuše Mgr.,52,ANO,BEZPP,3925.0,2.8,11,5,-
Fröhlichová Jana Mgr.,29,ČSSD,ČSSD,3281.0,2.81,11,7,-
Frydrych Jakub Mgr.,32,Svobodní,Svobodní,873.0,3.48,1,-,-
Fűrst Jindřich,41,Úsvit,BEZPP,332.0,2.29,32,-,-
Gelbič Jiří,66,ANO,BEZPP,3375.0,2.41,33,27,-
"Groh Jan Ing. LL.M., MBA",35,ANO,ANO,4125.0,2.94,4,4,*
Grus Petr,30,Úsvit,BEZPP,342.0,2.36,28,-,-
Hájková Kateřina Mgr.,40,NK,BEZPP,723.0,2.25,30,-,-
Hamáček Jaroslav,45,NK,BEZPP,1597.0,2.85,18,16,-
Hanousek Martin Mgr.,31,Zelení,Zelení,2143.0,3.82,2,2,*
Hanuš Jiří,51,KDU-ČSL,BEZPP,1504.0,2.47,23,21,-
Hartig Zdeněk,56,VPM,BEZPP,657.0,2.77,9,-,-
Havlíček Michal PhDr.,59,VPM,BEZPP,499.0,2.1,15,-,-
Havrda Alois Ing.,67,KSČM,BEZPP,2983.0,3.01,3,2,*
Heger Leoš doc. MUDr. CSc.,66,TOP 09,TOP 09,3757.0,5.69,13,1,*
Heger Leoš Bc.,40,NK,BEZPP,1121.0,3.5,13,-,-
Hejhálek Jiří RNDr.,57,Svobodní,Svobodní,889.0,3.54,6,-,-
Hejhálková Helena Mgr.,53,Svobodní,Svobodní,808.0,3.22,4,-,-
Hendrych Jiří,20,Úsvit,BEZPP,395.0,2.73,5,-,-
Hladík Jan Mgr.,28,VPM,BEZPP,482.0,2.03,19,-,-
Hladík Jiří,59,DOMA,DOMA,429.0,3.57,4,-,-
Hladík Petr Ing. Bc.,57,Svobodní,BEZPP,575.0,2.29,36,-,-
Hladíková Miroslava,59,DOMA,BEZPP,299.0,2.49,12,-,-
Hlavatý Lubomír,62,KSČM,KSČM,2623.0,2.65,23,19,-
Holinka Petr,38,Zelení,Zelení,1332.0,2.37,26,24,-
Holzknechtová Kateřina,28,Úsvit,BEZPP,435.0,3.0,6,-,-
Horák Lukáš Mgr. Ph.D.,32,Svobodní,BEZPP,672.0,2.68,14,-,-
Horák Roman Ing.,42,TOP 09,BEZPP,1487.0,2.25,31,28,-
Horčičková Zdeňka Mgr.,64,TOP 09,TOP 09,1615.0,2.44,28,25,-
Horejšová Veronika Mgr.,48,KDU-ČSL,KDU-ČSL,1294.0,2.12,35,33,-
Horváth Robert,23,NK,BEZPP,264.0,2.19,29,-,-
Horyna Robert,44,ODS,BEZPP,1647.0,2.63,22,19,-
Hovorková Ludmila,66,HDK,BEZPP,6435.0,2.55,28,16,-
Hoznedr Jan,40,TOP 09,TOP 09,1363.0,2.06,34,31,-
Hrabálek Alexandr Prof. PharmDr. CSc.,58,VPM,BEZPP,1500.0,6.33,1,-,-
Hroch Miloš Ing. Ph.D.,38,NK,BEZPP,1359.0,2.42,28,26,-
Hronešová Lenka Bc.,49,NK,BEZPP,1471.0,2.62,22,20,-
Hrubeš Jiří,24,NK,BEZPP,171.0,2.16,29,-,-
Hubáček Jiří,50,Úsvit,BEZPP,372.0,2.57,15,-,-
Husák Jan,34,Svobodní,Svobodní,720.0,2.87,7,-,-
Husar Michal,22,ODS,ODS,1574.0,2.51,25,22,-
Hušek Filip,37,NK,BEZPP,1312.0,2.34,27,25,-
Hušek Petr Ing.,34,NK,BEZPP,310.0,2.58,14,-,-
Hylmar Petr Ing.,55,KDU-ČSL,BEZPP,1427.0,2.34,33,31,-
Hypská Vilma MVDr.,43,VPM,BEZPP,469.0,1.98,37,-,-
Hýsek Jan MUDr.,39,DOMA,DOMA,590.0,4.91,1,-,-
Hýsková Jaroslava MUDr.,70,DOMA,BEZPP,255.0,2.12,37,-,-
Christ Miroslav,23,Svobodní,BEZPP,623.0,2.48,15,-,-
Chytilová Michaela Bc.,29,DOMA,BEZPP,295.0,2.45,25,-,-
Jablonský Antonín,41,TOP 09,TOP 09,1610.0,2.43,25,22,-
Jaklová Lenka Mgr.,55,STAN,BEZPP,1344.0,4.2,2,-,-
Janata Petr,47,HRAD.PATRIOTI,BEZPP,457.0,2.44,28,-,-
Janeček Josef,27,ANO,BEZPP,3735.0,2.67,18,12,-
Janků Pavla,64,NK,BEZPP,254.0,2.11,35,-,-
Janků Vítězslav Ing.,40,Úsvit,BEZPP,713.0,4.92,1,-,-
Janošič Petr,44,HRAD.PATRIOTI,HRAD.PATRIOTI,513.0,2.74,11,-,-
Janošičová Jitka,39,HRAD.PATRIOTI,BEZPP,485.0,2.59,22,-,-
Janský Michal,36,ANO,BEZPP,3555.0,2.54,30,24,-
Jarkovský Tomáš MgA.,28,Zelení,BEZPP,1613.0,2.88,17,15,-
Jaroš Emil MUDr. Ph.D.,70,ODS,ODS,1801.0,2.87,10,8,-
Jaroš Milan,47,ČSSD,ČSSD,3796.0,3.26,1,1,*
Jarošová Jitka,43,KSČM,KSČM,2641.0,2.67,22,18,-
Jedlička Vít Bc.,31,Svobodní,Svobodní,932.0,3.72,2,-,-
Jelínková Kateřina Mgr.,43,TOP 09,TOP 09,2038.0,3.08,3,2,-
Jezbera Daniel RNDr.,51,KDU-ČSL,KDU-ČSL,1627.0,2.67,13,12,-
Jirásek Záviš,68,KSČM,KSČM,2626.0,2.65,25,21,-
Jireš Rostislav Ing.,51,ČSSD,ČSSD,3481.0,2.99,7,2,*
Jiroutová Olga,37,ČSSD,ČSSD,3182.0,2.73,20,15,-
Josefi Ladislav,35,HRAD.PATRIOTI,BEZPP,472.0,2.52,24,-,-
Jůza Emil,78,HDK,BEZPP,5157.0,2.04,36,24,-
Kadečková Edita Bc.,26,HRAD.PATRIOTI,HRAD.PATRIOTI,576.0,3.08,3,-,-
Kalenda Otakar Bc.,29,ČSSD,ČSSD,3395.0,2.91,5,2,-
Kalhous Petr,53,Svobodní,Svobodní,631.0,2.51,19,-,-
Kapr Pavel,26,HRAD.PATRIOTI,BEZPP,448.0,2.39,32,-,-
Karanský Zdeněk,45,NK,BEZPP,182.0,2.29,17,-,-
Kašpárek Jan Ing. arch.,29,HDK,BEZPP,6547.0,2.59,26,14,-
Kejklíčková Jitka Ing. arch.,30,NK,BEZPP,445.0,5.62,4,-,-
Kindlová Iva Bc.,28,HRAD.PATRIOTI,BEZPP,478.0,2.55,18,-,-
Kindlová Kateřina Bc.,30,HRAD.PATRIOTI,BEZPP,489.0,2.61,13,-,-
Kiršbaum Tomáš,32,Úsvit,BEZPP,391.0,2.7,14,-,-
Klik Stanislav Ing. Ph.D.,39,VPM,BEZPP,614.0,2.59,13,-,-
Kocourek Jiří Ing.,54,HRAD.PATRIOTI,BEZPP,772.0,4.13,2,-,-
Kocourková Andrea Bc.,25,HRAD.PATRIOTI,BEZPP,509.0,2.72,23,-,-
Kočí David Bc.,39,TOP 09,TOP 09,1739.0,2.63,10,8,-
Kočnarová Jana Mgr.,39,NK,BEZPP,748.0,2.33,28,-,-
Koiš Radek Ing.,46,ČSSD,ČSSD,3190.0,2.74,18,13,-
Kolman Josef,60,TOP 09,TOP 09,1682.0,2.54,19,16,-
Komárek Jakub,25,HRAD.PATRIOTI,HRAD.PATRIOTI,488.0,2.61,12,-,-
Komárek Stanislav doc. MUDr. CSc.,56,TOP 09,BEZPP,1874.0,2.83,15,12,-
Konáš Radek Ing.,34,NK,BEZPP,199.0,2.51,18,-,-
Kopčáková Věra,41,NK,BEZPP,747.0,2.33,26,-,-
Kopecká Ludmila,46,NK,BEZPP,1230.0,2.19,33,31,-
Kopecký Tomáš Mgr.,40,NK,BEZPP,1600.0,2.85,8,8,-
Kopecký Tomáš,33,HRAD.PATRIOTI,BEZPP,454.0,2.43,30,-,-
Koritenský Vojtěch,30,NK,BEZPP,402.0,3.34,11,-,-
Korych Lukáš JUDr. Bc.,33,ODS,ODS,1645.0,2.62,19,16,-
Kos Jiří,46,ANO,ANO,3960.0,2.83,7,1,-
Kostlán Jiří Ing.arch.,35,ODS,ODS,1634.0,2.6,24,21,-
Košťál Ondřej Ing.,27,ANO,BEZPP,3780.0,2.7,22,16,-
Kott Jaroslav dipl. tech.,76,ANO,BEZPP,3720.0,2.65,23,17,-
Koubský Jiří,27,HRAD.PATRIOTI,BEZPP,415.0,2.22,35,-,-
Koutník Václav Ing.,70,ODS,ODS,1631.0,2.6,13,11,-
Koutník Zdeněk,30,Svobodní,BEZPP,642.0,2.56,22,-,-
Koutský Marek Ing.,32,HRAD.PATRIOTI,HRAD.PATRIOTI,530.0,2.83,6,-,-
Kozlovský Ondřej,31,Úsvit,BEZPP,376.0,2.59,13,-,-
Kozubík Lukáš,23,ANO,ANO,3915.0,2.79,6,6,*
Kožešníková Petra Bc.,27,Zelení,Zelení,1384.0,2.47,16,14,-
Kračmar Jaroslav,62,KSČM,KSČM,2586.0,2.61,29,25,-
Kračmar Libor,54,KSČM,KSČM,2647.0,2.67,20,16,-
Král Jan,36,ČSSD,ČSSD,3224.0,2.76,10,6,-
Králíček Ivo PhDr.,41,Zelení,BEZPP,1981.0,3.53,9,2,-
Krám Jiří Ing. MBA,50,Úsvit,BEZPP,366.0,2.53,33,-,-
Kramářová Olga Ing. Bc.,46,NK,BEZPP,1686.0,3.01,5,4,-
Krása Marek,33,KDU-ČSL,KDU-ČSL,1103.0,1.81,37,35,-
Kratěna Petr MUDr.,39,NK,BEZPP,370.0,3.08,10,-,-
Krátký Zdeněk,55,KSČM,KSČM,2666.0,2.69,16,12,-
Kratochvíl Viktor Mgr.,26,HRAD.PATRIOTI,BEZPP,518.0,2.77,17,-,-
Krčmová Irena MUDr. CSc.,57,HDK,BEZPP,7509.0,2.97,4,6,*
Krofta Josef,71,HDK,BEZPP,7453.0,2.95,9,9,*
Krumlová Hana,44,HRAD.PATRIOTI,BEZPP,551.0,2.95,10,-,-
Krupa Vladimír,50,Svobodní,BEZPP,626.0,2.49,25,-,-
Krupička Jan,34,Úsvit,BEZPP,358.0,2.47,21,-,-
Křelina František Ing.arch.,63,Změna,Změna,2004.0,3.58,4,1,-
Křížek Pavel Mgr. Ing.,53,Zelení,Zelení,1274.0,2.27,37,35,-
Kubica Jaroslav RNDr.,55,ČSSD,ČSSD,3088.0,2.65,28,23,-
Kučera David,19,NK,BEZPP,281.0,2.34,18,-,-
Kučera Ivo,39,ANO,BEZPP,3303.0,2.36,34,28,-
Kučera Jaroslav Ing.,34,ODS,ODS,1538.0,2.45,27,24,-
Kučera Leoš Bc.,40,DOMA,DOMA,573.0,4.77,3,-,-
Kvasničková Kateřina Mgr.,30,HDK,BEZPP,6782.0,2.68,15,3,-
Kvereková Monika,47,Úsvit,BEZPP,486.0,3.35,4,-,-
Lainz Jaroslav Mgr. DiS.,37,ČSSD,ČSSD,3044.0,2.61,27,22,-
Landa Jaroslav,66,KSČM,KSČM,2607.0,2.63,28,24,-
Landmesserová Jitka,62,VPM,BEZPP,377.0,1.59,34,-,-
Langer Alois,47,Svobodní,Svobodní,668.0,2.66,8,-,-
Lankašová Taťana PhDr. CSc.,61,KSČM,KSČM,2876.0,2.91,4,4,*
Lehký Petr Mgr. Bc.,54,ODS,BEZPP,1800.0,2.87,14,12,-
Lejsek Jakub,30,HDK,BEZPP,6946.0,2.75,11,11,*
Lenc Jan,23,Úsvit,BEZPP,347.0,2.39,20,-,-
Lesák Tomáš,53,ČSSD,ČSSD,3087.0,2.65,23,18,-
Lesák Vladimír,50,ČSSD,ČSSD,3440.0,2.95,3,5,*
Leugner Martin,33,TOP 09,TOP 09,1594.0,2.41,26,23,-
Lisý Pavel Ing.,48,KDU-ČSL,BEZPP,1480.0,2.43,29,27,-
Lišková Romana PhDr.,56,HDK,BEZPP,7178.0,2.84,5,7,*
Lojan Petr Mgr. MBA,40,TOP 09,TOP 09,1748.0,2.64,12,10,-
Ludvík Václav Ing.,67,VPM,BEZPP,788.0,3.32,5,-,-
Luska Petr Bc.,49,ČSSD,ČSSD,3380.0,2.9,4,1,-
Luštincová Lucie,23,Nestran.,BEZPP,1515.0,2.48,8,10,-
Maclová Anna Ing.,54,KDU-ČSL,BEZPP,3324.0,5.46,1,1,*
Mádle Luboš Ing.,74,ČSSD,ČSSD,3126.0,2.68,19,14,-
Mádr Milan,51,ČSSD,ČSSD,2997.0,2.57,29,24,-
Mahlerová Jana,35,VPM,BEZPP,441.0,1.86,25,-,-
Machač Pavel,33,Zelení,Zelení,1326.0,2.36,21,19,-
Macháček Karel,37,Hora 2014,BEZPP,373.0,2.57,22,-,-
Machačová Hana Bc. MSc.,50,ANO,ANO,4003.0,2.86,10,4,-
Malá Kamila Ing.,38,TOP 09,TOP 09,1702.0,2.57,14,11,-
Malečková Jana Ing.,36,Úsvit,BEZPP,624.0,4.31,2,-,-
Málek Bořek Ing.,49,ODS,ODS,1699.0,2.71,11,9,-
Málek Tomáš Ing.,33,VPM,BEZPP,438.0,1.85,23,-,-
Malířová Tereza Bc.,22,VPM,BEZPP,444.0,1.87,31,-,-
Malý Radek,23,Hora 2014,BEZPP,370.0,2.55,10,-,-
Maňásek František,78,NK,BEZPP,214.0,2.7,14,-,-
Marečková Dana,58,HDK,BEZPP,6818.0,2.7,16,4,-
Marek Pavel,44,ANO,ANO,4087.0,2.92,5,5,*
Marešová Vanda Bc.,24,Svobodní,BEZPP,642.0,2.56,20,-,-
Marha Josef,38,NK,BEZPP,729.0,2.27,36,-,-
Marková Eva,37,ANO,BEZPP,3088.0,2.2,36,30,-
Marková Petra,40,ANO,BEZPP,2844.0,2.03,37,31,-
Martinec Petr,36,ANO,BEZPP,3473.0,2.48,31,25,-
